key,Russian,English
app_version,Версия приложения {app_version},Version: {app_version}
loading,Загрузка…,Loading…
terms_and_conditions,Terms & Conditions,Terms & Conditions
privacy_policy,Privacy Policy,Privacy Policy
home_page.title,@:today,@:today
empty_card.now,@:mood сейчас,@:mood now
empty_card.part_of_day,@:mood {part_of_day_in_instrumental_case},@:mood {part_of_day_in_instrumental_case}
bottom_navigation_bar.home,Главная,Home
bottom_navigation_bar.chart,График,Chart
bottom_navigation_bar.events,События,Events
bottom_navigation_bar.calendar,Календарь,Calendar
subscription_banner.title,Бесплатный доступ,Free access
subscription_banner.description,Все бета-тестеры могут использовать приложение бесплатно.,All beta testers can use the app for free.
profile_screen.title,Профиль,Profile
profile_screen.menu.account,Аккаунт,Account
profile_screen.menu.account.not_authorized,Не авторизован,Not authorized
profile_screen.menu.notifications,Уведомления,Notifications
profile_screen.menu.notifications.no_notifications,@:no_notifications,@:no_notifications
profile_screen.menu.notifications.permissions_missing,Отсутствуют разрешения,Permissions missing
profile_screen.menu.language,Язык,Language
profile_screen.menu.about,О приложении,About
profile_screen.menu.contact,Связаться,Contact us
about_screen.title,@:profile_screen.menu.about,@:profile_screen.menu.about
about_screen.menu.terms,@:terms_and_conditions,@:terms_and_conditions
about_screen.menu.privacy,@:privacy_policy,@:privacy_policy
about_screen.menu.onboarding,Пройти обучение,User manual
language_screen.title,@:profile_screen.menu.language,@:profile_screen.menu.language
events_page.title,События за всё время,Events for all time
event_influence.in_moment,В моменте,In the moment
event_influence.in_future,Потом,In future
event_influence_level.super_down,Значительно хуже,Much worse
event_influence_level.down,Хуже,Worse
event_influence_level.neutral,Не меняется,No change
event_influence_level.up,Лучше,Better
event_influence_level.super_up,Значительно лучше,Much better
frequency_diagram.title.event,{chart_mode} с событием «{event}»,{chart_mode} with «{event}»
frequency_diagram.title.emotion,{chart_mode} с эмоцией «{emotion}»,{chart_mode} with «{emotion}»
mood_chart_page.popup.filter.title,Отображение,Display
mood_chart_page.popup.filter.all_button.title,Все события,All events
mood_chart_page.popup.filter.action_button.title,Применить,Apply
mood_chart_page.tooltip.details.more,Подробнее,More details
mood_chart_page.tooltip.details.yet,Еще {overflow_events_count}…,More {overflow_events_count}…
mood_assessment_screen.title.now,Как настроение?,How are you feeling?
mood_assessment_screen.title.part_of_day.today,@:mood {part_of_day_in_instrumental_case},@:mood {part_of_day_in_instrumental_case}
mood_assessment_screen.title.part_of_day.yesterday,@:yesterday {part_of_day_in_instrumental_case},@:yesterday {part_of_day_in_instrumental_case}
mood_assessment_screen.title.part_of_day.date,{date} {part_of_day_in_instrumental_case},{date} {part_of_day_in_instrumental_case}
mood_assessment_screen.title.update.today.with_time,@:today {part_of_day_in_instrumental_case} в {time},@:today {part_of_day_in_instrumental_case} at {time}
mood_assessment_screen.title.update.today.without_time,@:mood {part_of_day_in_instrumental_case},@:mood {part_of_day_in_instrumental_case}
mood_assessment_screen.title.update.yesterday.with_time,@:yesterday {part_of_day_in_instrumental_case} в {time},@:yesterday {part_of_day_in_instrumental_case} at {time}
mood_assessment_screen.title.update.yesterday.without_time,@:yesterday {part_of_day_in_instrumental_case},@:yesterday {part_of_day_in_instrumental_case}
mood_assessment_screen.title.update.date.with_time,{date} {part_of_day_in_instrumental_case} в {time},{date} {part_of_day_in_instrumental_case} at {time}
mood_assessment_screen.title.update.date.without_time,{date} {part_of_day_in_instrumental_case},{date} {part_of_day_in_instrumental_case}
mood_assessment_screen.action_button.title,Оценить,Assess
mood_assessment_screen.delete_popup.title,Удалить оценку?,Delete the assessment?
select_events_screen.title,@:events,@:events
select_events_screen.create_event_button.title,Добавить новое событие,Add new event
select_events_screen.search.hint_text,Поиск событий,Events search
select_events_screen.search.not_found,Нет события\n«{search_text}»,The is no {search_text} event
select_events_screen.subtitle.recent,Недавние события,Recent events
